[05/01/2023 16:21]  System: WorldMap loading...
[05/01/2023 16:54]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:54]  a zombie: -51
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: Bandage: 7s
[05/01/2023 16:54]  System: Your attack cripples your target, lowering their defense!
[05/01/2023 16:54]  a zombie: -144
[05/01/2023 16:54]  Razor: Bandage: 6s
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:54]  a zombie: -136
[05/01/2023 16:54]  System: You deliver a zen strike to your opponent.
[05/01/2023 16:54]  Stink Fist: +25
[05/01/2023 16:54]  System: some damage has been healed : 25
[05/01/2023 16:54]  System: You have gained a little fame.
[05/01/2023 16:54]  System: -40
[05/01/2023 16:54]  You see: a rotting corpse
[05/01/2023 16:54]  Razor: Bandage: 5s
[05/01/2023 16:54]  System: What do you wish to carve, investigate, or research?
[05/01/2023 16:54]  System: You carve materials from the corpse.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: Target: a giant rat
[05/01/2023 16:54]  Razor: Bandage: 4s
[05/01/2023 16:54]  Razor: Bandage: 3s
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  Razor: Bandage: 2s
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: Bandage: 1s
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: [GridLoot]: Corpse is empty!
[05/01/2023 16:54]  System: You finish applying the bandages.
[05/01/2023 16:54]  Stink Fist: +2
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  a zombie: a zombie
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: Max holy symbols earned (10/10)
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: Holy symbols remaining: 9/10
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: You may now attempt to disarm your opponent again.
[05/01/2023 16:54]  Razor: [DISARM]
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: Max holy symbols earned (10/10)
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  ShootGooInYou: *looks violently ill*
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Neon Noir.: Neon Noir. (Young)
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  a skeleton: a skeleton
[05/01/2023 16:55]  System: [SR] A Stygian Rifts event will begin in 5 minutes. Type [BattleHotbar to view the Battle Hotbar for this event.
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  Kerata: Kerata (Young)
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Kerata: Kerata (Young)
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: Target: a giant rat
[05/01/2023 16:55]  Razor: Attack: a giant rat
[05/01/2023 16:55]  Kerata: Kerata (Young)
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  System: You are currently prevented from performing criminal looting actions.
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: Target: a zombie
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Kerata: Kerata (Young)
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  Razor: Attack: a zombie
[05/01/2023 16:55]  System: Holy symbols remaining: 9/10
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:55]  Kerata: Kerata (Young)
[05/01/2023 16:55]  System: Your strike disarms your target!
[05/01/2023 16:55]  a zombie: -91
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: Divine Fury
[05/01/2023 16:55]  System: Divine Fury
[05/01/2023 16:55]  System: Holy symbols remaining: 5/10
[05/01/2023 16:55]  a zombie: -64
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:55]  a zombie: -156
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  a zombie: -81
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:55]  a zombie: -85
[05/01/2023 16:55]  System: New target set.
[05/01/2023 16:55]  System: You have gained a little fame.
[05/01/2023 16:55]  System: -92
[05/01/2023 16:55]  You see: a rotting corpse
[05/01/2023 16:55]  System: What do you wish to carve, investigate, or research?
[05/01/2023 16:55]  System: You carve materials from the corpse.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  a zombie: a zombie
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  a zombie: a zombie
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: Max holy symbols earned (10/10)
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: Holy symbols remaining: 9/10
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: You may now attempt to disarm your opponent again.
[05/01/2023 16:55]  Razor: [DISARM]
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: Max holy symbols earned (10/10)
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  System: No one matching that was found on your screen.
[05/01/2023 16:55]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  Kerata: Kerata (Young)
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  a giant rat: a giant rat
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: Grimriper has completed the achievement: Animal Bond (Epic).
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: You may now use an agility potion.
[05/01/2023 16:56]  System: Your dexterity has changed by -20.  It is now 100
[05/01/2023 16:56]  Razor: [-Agility (s)]
[05/01/2023 16:56]  Razor: Dex: -20 - 100
[05/01/2023 16:56]  Kerata: Kerata (Young)
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: You may now use a strength potion.
[05/01/2023 16:56]  System: Your strength has changed by -20.  It is now 100
[05/01/2023 16:56]  Razor: [-Strength (s)]
[05/01/2023 16:56]  Razor: Str: -20 - 100
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  a zombie: a zombie
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  a giant rat: a giant rat
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: [GridLoot]: Corpse is empty!
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Kerata: Kerata (Young)
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  ShootGooInYou: ShootGooInYou
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: Your dexterity has changed by 20.  It is now 120
[05/01/2023 16:56]  Razor: [+Agility (120s)]
[05/01/2023 16:56]  Razor: Dex: +20 - 120
[05/01/2023 16:56]  Razor: [-Agility (s)]
[05/01/2023 16:56]  Razor: [+Agility (120s)]
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: chug refresh
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Razor: found no one
[05/01/2023 16:56]  System: No one matching that was found on your screen.
[05/01/2023 16:56]  Kerata: Kerata (Young)
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  Neon Noir.: Neon Noir. (Young)
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  a mongbat: a mongbat
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  a mongbat: a mongbat
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  a giant rat: a giant rat
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  a zombie: a zombie
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: Target: a zombie
[05/01/2023 16:57]  System: Holy symbols remaining: 9/10
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:57]  Razor: Attack: a zombie
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:57]  Stink Fist: -1
[05/01/2023 16:57]  System: Your strike disarms your target!
[05/01/2023 16:57]  a zombie: -65
[05/01/2023 16:57]  System: Who will you use the bandages on?
[05/01/2023 16:57]  System: You begin applying the bandages.
[05/01/2023 16:57]  Razor: Bandage: 10s
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: chug
[05/01/2023 16:57]  System: Your strength has changed by 20.  It is now 120
[05/01/2023 16:57]  Razor: [+Strength (120s)]
[05/01/2023 16:57]  Razor: Str: +20 - 120
[05/01/2023 16:57]  Razor: [-Strength (s)]
[05/01/2023 16:57]  Razor: [+Strength (120s)]
[05/01/2023 16:57]  a zombie: -68
[05/01/2023 16:57]  Razor: Divine Fury
[05/01/2023 16:57]  System: Divine Fury
[05/01/2023 16:57]  System: Holy symbols remaining: 5/10
[05/01/2023 16:57]  Razor: Bandage: 9s
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:57]  a zombie: -100
[05/01/2023 16:57]  Razor: Bandage: 8s
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: Bandage: 7s
[05/01/2023 16:57]  a zombie: -62
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:57]  Razor: Bandage: 6s
[05/01/2023 16:57]  a zombie: -44
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: Bandage: 5s
[05/01/2023 16:57]  a zombie: -142
[05/01/2023 16:57]  System: New target set.
[05/01/2023 16:57]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:57]  Razor: Bandage: 4s
[05/01/2023 16:57]  System: You smash through the remainder of their armor, dealing grevious damage!
[05/01/2023 16:57]  System: You have gained a little fame.
[05/01/2023 16:57]  System: -119
[05/01/2023 16:57]  You see: a rotting corpse
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: Bandage: 3s
[05/01/2023 16:57]  System: What do you wish to carve, investigate, or research?
[05/01/2023 16:57]  System: You carve materials from the corpse.
[05/01/2023 16:57]  Razor: Bandage: 2s
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  Razor: Bandage: 1s
[05/01/2023 16:57]  System: You finish applying the bandages.
[05/01/2023 16:57]  Stink Fist: +19
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: [GridLoot]: Corpse is empty!
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  a giant rat: a giant rat
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Kerata: Kerata (Young)
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: Max holy symbols earned (10/10)
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Neon Noir.: Neon Noir. (Young)
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: Holy symbols remaining: 9/10
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  Razor: found no one
[05/01/2023 16:57]  System: You may now attempt to disarm your opponent again.
[05/01/2023 16:57]  Razor: [DISARM]
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:57]  System: Max holy symbols earned (10/10)
[05/01/2023 16:57]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  Razor: found no one
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  Razor: found no one
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  Razor: found no one
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  Razor: found no one
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  Razor: found no one
[05/01/2023 16:58]  You see: a mongbat corpse
[05/01/2023 16:58]  a giant rat: a giant rat
[05/01/2023 16:58]  You see: a giant rat corpse
[05/01/2023 16:58]  You see: a giant rat corpse
[05/01/2023 16:58]  You see: a giant rat corpse
[05/01/2023 16:58]  You see: a giant rat corpse
[05/01/2023 16:58]  You see: a rotting corpse
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  You see: a giant rat corpse
[05/01/2023 16:58]  You see: a giant rat corpse
[05/01/2023 16:58]  System: No one matching that was found on your screen.
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  ShootGooInYou: ShootGooInYou
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Target: a giant rat
[05/01/2023 16:58]  a zombie: a zombie
[05/01/2023 16:58]  a zombie: a zombie
[05/01/2023 16:58]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Target: a zombie
[05/01/2023 16:58]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:58]  Razor: Attack: a zombie
[05/01/2023 16:58]  System: You may not loot this corpse.
[05/01/2023 16:58]  System: What do you wish to carve, investigate, or research?
[05/01/2023 16:58]  System: You carve materials from the corpse.
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Target: a zombie
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  You see: a rotting corpse
[05/01/2023 16:58]  System: You may not loot this corpse.
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  System: Your strike disarms your target!
[05/01/2023 16:58]  a zombie: -69
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:58]  You see: a skeletal corpse
[05/01/2023 16:58]  Razor: Divine Fury
[05/01/2023 16:58]  System: Divine Fury
[05/01/2023 16:58]  You see: a gazer larva corpse
[05/01/2023 16:58]  You see: a terathan larva corpse
[05/01/2023 16:58]  a terathan larva: a terathan larva
[05/01/2023 16:58]  a cave bear: a cave bear
[05/01/2023 16:58]  System: Holy symbols remaining: 6/10
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Target: a cave bear
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:58]  System: Holy symbols remaining: 6/10
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Attack: a cave bear
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  a terathan larva: a terathan larva
[05/01/2023 16:58]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:58]  Stink Fist: -15
[05/01/2023 16:58]  a cave bear: *enraged*
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  System: Who will you use the bandages on?
[05/01/2023 16:58]  System: You begin applying the bandages.
[05/01/2023 16:58]  Razor: Bandage: 10s
[05/01/2023 16:58]  a cave bear: -45
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:58]  System: Your attack hinders your target!
[05/01/2023 16:58]  a cave bear: -81
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Bandage: 9s
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Bandage: 8s
[05/01/2023 16:58]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:58]  a cave bear: -41
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Bandage: 7s
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Bandage: 6s
[05/01/2023 16:58]  a cave bear: -61
[05/01/2023 16:58]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:58]  System: New target set.
[05/01/2023 16:58]  Razor: Bandage: 5s
[05/01/2023 16:58]  a cave bear: -80
[05/01/2023 16:58]  Stink Fist: -2
[05/01/2023 16:58]  System: Your fingers slip!
[05/01/2023 16:58]  Razor: chug
[05/01/2023 16:58]  System: You must wait 1 second before you may use another agility potion.
[05/01/2023 16:58]  System: You may now use an agility potion.
[05/01/2023 16:58]  System: Your dexterity has changed by -20.  It is now 100
[05/01/2023 16:58]  Razor: [-Agility (s)]
[05/01/2023 16:58]  Razor: Dex: -20 - 100
