[01/06/2022 13:38]  System: WorldMap loading...
[01/06/2022 13:42]  yuse: yuse (Young)
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  You see: a headless corpse
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  Tupac: Legendarily Triggered
[01/06/2022 13:42]  Tupac: [Cn]
[01/06/2022 13:42]  Tupac: Lord Tupac
[01/06/2022 13:42]  You see: a headless corpse
[01/06/2022 13:42]  a skeleton: a skeleton
[01/06/2022 13:42]  System: Opening door... [2]
[01/06/2022 13:42]  Miss Riley: [Beard Brother, BB]
[01/06/2022 13:42]  Miss Riley: Miss Riley
[01/06/2022 13:42]  a headless: a headless
[01/06/2022 13:42]  a giant rat: a giant rat
[01/06/2022 13:42]  a giant rat: a giant rat
[01/06/2022 13:42]  a skeleton: a skeleton
[01/06/2022 13:42]  a zombie: a zombie
[01/06/2022 13:42]  System: Players cannot commit aggressive actions in that location.
[01/06/2022 13:42]  a zombie: a zombie
[01/06/2022 13:42]  You see: a skeletal corpse
[01/06/2022 13:42]  Amish Hammer: [The Farmer, L%C]
[01/06/2022 13:42]  Amish Hammer: Amish Hammer
[01/06/2022 13:42]  Brits: Summoner
[01/06/2022 13:42]  Brits: [Officer, SQzD]
[01/06/2022 13:42]  Brits: Lady Brits
[01/06/2022 13:42]  Kelemvor: [N*Q]
[01/06/2022 13:42]  Kelemvor: Kelemvor
[01/06/2022 13:42]  Sandvik: Sandvik
[01/06/2022 13:42]  Resourcefull: (tame)
[01/06/2022 13:42]  Resourcefull: [220/2000 stones]
[01/06/2022 13:42]  Resourcefull: Resourcefull
[01/06/2022 13:42]  a llama: (bonded)
[01/06/2022 13:42]  a llama: a llama
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  Robert Lee: Domesticator
[01/06/2022 13:42]  Robert Lee: Robert Lee
[01/06/2022 13:42]  Feral Voidlash: [Precious Baby Snowflake, DTF]
[01/06/2022 13:42]  Feral Voidlash: Lady Feral Voidlash
[01/06/2022 13:42]  Pontiac-: [Recruit, 1CE]
[01/06/2022 13:42]  Pontiac-: Pontiac-
[01/06/2022 13:42]  Voina: [Recruit, -_-]
[01/06/2022 13:42]  Voina: Voina
[01/06/2022 13:42]  a zombie: a zombie
[01/06/2022 13:42]  You see: a giant rat corpse
[01/06/2022 13:42]  System: Opening door...
[01/06/2022 13:42]  System: Players cannot commit aggressive actions in that location.
[01/06/2022 13:42]  You see: a giant rat corpse
[01/06/2022 13:42]  You see: a giant rat corpse
[01/06/2022 13:42]  Miss Riley: [Beard Brother, BB]
[01/06/2022 13:42]  Miss Riley: Miss Riley
[01/06/2022 13:42]  System: That is too far away.
[01/06/2022 13:42]  Marvolo: Marvolo (Young)
[01/06/2022 13:42]  System: You are now under the protection of the town guards.
[01/06/2022 13:42]  Rabbi Tuckman: Your mount returns.
[01/06/2022 13:42]  a hind: a hind
[01/06/2022 13:42]  a hind: a hind
[01/06/2022 13:42]  Jessee: Jessee the guard
[01/06/2022 13:42]  F Lloyd Wright: F Lloyd Wright (Young)
[01/06/2022 13:42]  Drabadanchik: Drabadanchik (Young)
[01/06/2022 13:42]  DishWasher: Legendary Alchemist
[01/06/2022 13:42]  DishWasher: [xBu]
[01/06/2022 13:42]  DishWasher: DishWasher
[01/06/2022 13:42]  Talbas: Talbas (Young)
[01/06/2022 13:42]  System: (tame)
[01/06/2022 13:42]  : a horse
[01/06/2022 13:42]  Phinneas: (tame)
[01/06/2022 13:42]  Phinneas: [11/2000 stones]
[01/06/2022 13:42]  Phinneas: Phinneas
[01/06/2022 13:42]  Tethra: Tethra (Young)
[01/06/2022 13:42]  Marti: Marti the healer
[01/06/2022 13:42]  Jayne: Jayne the innkeeper
[01/06/2022 13:42]  a pack horse: (tame)
[01/06/2022 13:42]  a pack horse: [0/2000 stones]
[01/06/2022 13:42]  a pack horse: a pack horse
[01/06/2022 13:42]  Dusty: Dusty the cook
[01/06/2022 13:42]  Tadi: Tadi the thief
[01/06/2022 13:42]  Dees Nuts: Dees Nuts
[01/06/2022 13:42]  Carlton: Carlton the stablemaster
[01/06/2022 13:42]  Animus Vox: Animus Vox (Young)
[01/06/2022 13:42]  Clem Fandango: Clem Fandango
[01/06/2022 13:42]  Sherwin: Sherwin the mage
[01/06/2022 13:42]  Zara: Zara the scribe
[01/06/2022 13:42]  Woody: Woody the alchemist
[01/06/2022 13:42]  Kenelm: Kenelm the tavern keeper
[01/06/2022 13:42]  Rosaline: Rosaline the waiter
[01/06/2022 13:42]  Jordan: Jordan the beggar
[01/06/2022 13:42]  BioHaze: BioHaze (Young)
[01/06/2022 13:42]  of The Lake: of The Lake
[01/06/2022 13:42]  a horse: (tame)
[01/06/2022 13:42]  a horse: a horse
[01/06/2022 13:42]  Avis: Avis the battle trainer
[01/06/2022 13:42]  Pro Absorption: Pro Absorption (Young)
[01/06/2022 13:42]  PENN: [Squire, C-C]
[01/06/2022 13:42]  PENN: PENN (Young)
[01/06/2022 13:42]  a horse: (tame)
[01/06/2022 13:42]  a horse: a horse
[01/06/2022 13:42]  Dees Nuts: Dees Nuts
[01/06/2022 13:42]  of The Lake: of The Lake
[01/06/2022 13:42]  Malcom Redbeard: Malcom Redbeard (Young)
[01/06/2022 13:42]  Edyn: [A Ship People, Path]
[01/06/2022 13:42]  Edyn: Edyn
[01/06/2022 13:42]  Bly: Bly the fisherman
[01/06/2022 13:42]  Axident Prone: Axident Prone (Young)
[01/06/2022 13:42]  im a bard: [Henchman, Syn]
[01/06/2022 13:42]  im a bard: im a bard
[01/06/2022 13:42]  Lene: Lene the salvage foreman
[01/06/2022 13:42]  Tai: Tai the fisherman
[01/06/2022 13:42]  Clint Beastwood: [Recruit, NEW!]
[01/06/2022 13:42]  Clint Beastwood: Clint Beastwood
[01/06/2022 13:42]  Jayne: Jayne the innkeeper
[01/06/2022 13:42]  Dudebroman: Dudebroman (Young)
[01/06/2022 13:42]  Wijdan: Wijdan the mapmaker
[01/06/2022 13:42]  Meg: Meg the bowyer
[01/06/2022 13:42]  Cobwebbed Widow: Cobwebbed Widow
[01/06/2022 13:42]  Colon: Colon the Town Crier
[01/06/2022 13:42]  a sheep: (tame)
[01/06/2022 13:42]  a sheep: a sheep
[01/06/2022 13:42]  a sheep: (tame)
[01/06/2022 13:42]  a sheep: a sheep
[01/06/2022 13:42]  a sheep: (tame)
[01/06/2022 13:42]  a sheep: a sheep
[01/06/2022 13:42]  a sheep: (tame)
[01/06/2022 13:42]  a sheep: a sheep
[01/06/2022 13:42]  a sheep: (tame)
[01/06/2022 13:42]  a sheep: a sheep
[01/06/2022 13:42]  Madelyn: Madelyn the shipwright
[01/06/2022 13:42]  Chane: Chane the carpenter
[01/06/2022 13:42]  Alicia: Alicia the tavern keeper
[01/06/2022 13:42]  Amadis: Amadis the armorer
[01/06/2022 13:42]  Jake: Jake the barkeep
[01/06/2022 13:42]  Len: Len the banker
[01/06/2022 13:42]  Ayisha: Ayisha the weaponsmith
[01/06/2022 13:42]  Ferana: Ferana (Young)
[01/06/2022 13:42]  Dudebroman: Dudebroman (Young)
[01/06/2022 13:42]  Hay Bird: Hay Bird
[01/06/2022 13:42]  Dudebroman: Dudebroman (Young)
[01/06/2022 13:42]  Dudebroman: Dudebroman (Young)
[01/06/2022 13:43]  Dungeon spy: Dungeon spy
[01/06/2022 13:43]  a sheep: a sheep
[01/06/2022 13:43]  Colon: A contested ocean boss has spawned at (3548, 1977, 0)
[01/06/2022 13:43]  You see: leather : 27
[01/06/2022 13:43]  a sheep: a sheep
[01/06/2022 13:43]  Tadi: Tadi the thief
[01/06/2022 13:43]  Dusty: Dusty the cook
[01/06/2022 13:43]  Clint Beastwood: [Recruit, NEW!]
[01/06/2022 13:43]  Clint Beastwood: Clint Beastwood
[01/06/2022 13:43]  a pack horse: (tame)
[01/06/2022 13:43]  a pack horse: [0/2000 stones]
[01/06/2022 13:43]  a pack horse: a pack horse
[01/06/2022 13:43]  Dees Nuts: Dees Nuts
[01/06/2022 13:43]  Carlton: Carlton the stablemaster
[01/06/2022 13:43]  Jayne: Jayne the innkeeper
[01/06/2022 13:43]  System: Opening door...
[01/06/2022 13:43]  Clint Beastwood: [Recruit, NEW!]
[01/06/2022 13:43]  Clint Beastwood: Clint Beastwood
[01/06/2022 13:43]  System: Opening door...
